TimeStep,CenterPhi
870,-1.5283768938471274
880,-1.5524626660489935
890,-1.604048062787781
900,-1.6788900871714627
910,-1.7705494170950644
920,-1.8702884544243856
930,-1.9682181523745137
940,-2.054548340449284
950,-2.120203337658203
960,-2.157687443193242
970,-2.162869978524203
980,-2.1364445233010594
990,-2.0835097031464356
1000,-2.011780752500489
1010,-1.9301388832855162
1020,-1.847878325555443
1030,-1.7736975733272575
1040,-1.7143403276148828
1050,-1.674004930761407
1060,-1.6549066610207228
1070,-1.6578755175629338
1080,-1.68210599568909
1090,-1.7247274538410158
1100,-1.7811794115812476
1110,-1.8460409294296531
1120,-1.913310265261798
1130,-1.9762751974105053
1140,-2.028076073347227
1150,-2.0631238681751407
1160,-2.078192604226197
1170,-2.072470943293289
1180,-2.047281942564558
1190,-2.00614504412559
1200,-1.9545930442707138
1210,-1.8990627601390977
1220,-1.8455119439290129
1230,-1.7988676116654543
1240,-1.7631789545423653
1250,-1.7414792776239942
1260,-1.735204759166978
1270,-1.744023558651172
1280,-1.7663850256549738
1290,-1.7999884163573798
1300,-1.8416127575733836
1310,-1.8869383250857825
1320,-1.9311142540187154
1330,-1.9696828690839996
1340,-1.9989923002264214
1350,-2.0161832398446924
1360,-2.019524263314036
1370,-2.009078847313503
1380,-1.9868120271547176
1390,-1.955861163452494
1400,-1.9197971396040336
1410,-1.8824551001255951
1420,-1.8478209499409806
1430,-1.8194162326014958
1440,-1.7996306118627443
1450,-1.7897075270688183
1460,-1.7901402794626307
1470,-1.800702163205919
1480,-1.820100486325917
1490,-1.84598587514989
1500,-1.8755202857379787
1510,-1.9058400355631002
1520,-1.9340261715949645
1530,-1.9571155991795348
1540,-1.9726466298203187
1550,-1.9792871872568236
1560,-1.9768658244875452
1570,-1.9660037841081208
1580,-1.948023479267635
1590,-1.9251063619524746
1600,-1.900067397734066
1610,-1.8756764342614007
1620,-1.8542035323141532
1630,-1.8375029013234623
1640,-1.8271085285215714
1650,-1.823918717757908
1660,-1.827872041616883
1670,-1.8381273485010283
1680,-1.8534819388409773
1690,-1.8724420896491376
1700,-1.8930373357450239
1710,-1.9129697182489545
1720,-1.9301542107494878
1730,-1.943059416853841
1740,-1.950601550690459
1750,-1.952068536019946
1760,-1.947402657076821
1770,-1.9374274276476235
1780,-1.9235764127821262
1790,-1.9074266871074619
1800,-1.8905784579540639
1810,-1.8747671609218268
1820,-1.861693762557089
1830,-1.8525873928890495
1840,-1.8480319020040161
1850,-1.848196930529553
1860,-1.8529948273387498
1870,-1.8618944380505649
1880,-1.87378208116552
1890,-1.88723083257314
